Group,Race,Percentage
General population,NA,17268000
General population,American Indian or Alaska Native,212000
General population,Asian,674000
General population,NA,1799000
General population,Hispanic/Latino,2953000
General population,Native Hawaiian or Pacific Islander,42000
General population,Two or More Races,738000
General population,White,7895000
EI population,NA,842413
EI population,American Indian or Alaska Native,5842
EI population,Asian,36966
EI population,NA,104046
EI population,Hispanic/Latino,232969
EI population,Native Hawaiian or Pacific Islander,2557
EI population,Two or More Races,35650
EI population,White,424383
